Name,Passive,Attack,Defence,Gear,Needs_Review,Notes,Ability_Text
Abaddon The Despoiler,First Among Traitors,,,,N,Buffs other Chaos units only.,"Other friendly Chaos units within {[range]} hexes deal +{[extraDmg]} Damage. This value is increased by +{[extraDmg_2]} Damage for each attack Abaddon has performed in this battle, up to a maximum of +{[maxDmg]} Damage after 13 attacks."
Abraxas,Infernal Pacts,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Friendly Chaos units adjacent to Abraxas deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage with their normal ranged attacks. Affected Daemons also gain the bonus hit on their normal melee attack.
Actus,Galvanic Field,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Whenever Actus repairs another unit, that unit immediately attacks a target in range, dealing {[dmgPct]}% of its own Damage to a maximum of {[maxDmg]} Damage per hit. Actus can repair other friendly units even if they are at full Health."
Adamatar,Obsessive Annunciation,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","All enemy units adjacent to Adamatar take +{[extraDmg]} Damage from ranged attacks. If an enemy was Overkilled this turn, enemies adjacent to Adamatar take +{[extraCritDmg]} Crit Damage from all attacks by friendly Chaos units."
Aesoth,Stand Vigil,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Friendly surrounding units have +{[extraArmor]} Armour and deal +{[extraDmgPct]}% Damage with attacks that are not normal attacks. If a friendly Adeptus Custodes uses an Active Ability, Stand Vigil affects all other friendly units within {[range]} hexes for 1 round."
Aethana,Path Of Command,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Other friendly units within {[range]} hexes gain +{[extraDmg]} Damage. Their Crit chance – if they have one – is increased by +{[extraCritChance]}%. Affected Aeldari units gain an additional +{[extraDmg_2]} Damage.
Ahriman,Psychic Stalk,pct:extraDmgPct:after;flat:extraDmg:after,,,N,"His ranged attack sets the target on Fire, so his later Flame/Psychic attacks get the bonus.",Attacks that deal Flame Damage and Psychic Damage to enemies that are on hexes with Fire deal +{[extraDmgPct]}% Damage. Affected attacks from friendly Chaos units deal an additional +{[extraDmg]} Damage. The hex of each enemy that is hit by Ahriman's normal ranged attack catches Fire.
Aleph-Null,Fabricator Claw Array,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","After moving, repairs one random adjacent friendly Mechanical unit for {[hpToRepair]} Health. If Aleph-Null does not move, then this ability triggers at the end of its turn."
Ammuk,Predictive Guidance,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Enemies within 2 hexes of Âmmuk are affected by Predictive Guidance. If an affected enemy did not move in its last turn, other friendly Leagues of Votann or Mechanical units deal +{[extraDmg]} Damage with melee attacks against it. If an affected enemy moved in its last turn, other friendly Leagues of Votann or Mechanical units deal +{[extraDmg_2]} Damage with ranged attacks against it. Other friendly Leagues of Votann units also score an additional hit with all attacks against affected enemies."
Ancient Thoread,Astartes Banner,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.",Other friendly units within {[range]} hexes score an additional hit with their melee attacks. This additional hit can deal a maximum of {[maxDmg]} Damage.
Angrax,Hateful Assault,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Attacks any enemy that moves from a hex adjacent to him, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage."
Anuphet,My Will Be Done,,,,N,An adjacent Mechanical ally attacks; his own +Damage only if none does.,"At the end of Anuphet's turn, a friendly adjacent Mechanical unit performs a normal attack against a target in range, using {[dmgPct]}% of its own Damage stat to a maximum of {[maxDmg]} Damage. If no attack was performed this way, Anuphet gains +{[extraDmg]} Damage until the end of his next turn."
Archimatos,Possession,,,,N,"Nothing for the character itself: buffs allies, reacts to enemies, or summons.","Each time Archimatos kills an enemy unit with a melee attack, he summons a Bloodletter in its hex. Each time he kills an enemy unit with a ranged attack, he summons a Blue Horror in its hex. Bloodletter’s stats: {[summonHp]} Health {[summonDmg]} Damage Blue Horror's stats: {[summonHp_2]} Health {[summonDmg_2]} Damage"
Arjac,Anvil Shield,,,blockdmg:blockDmg,N,Block bonuses need block gear. Gear: +Block Damage. The extra block chance (low health or attacker on Ice) is not counted.,"Arjac blocks an additional {[blockDmg]} Damage and when he Blocks he covers the attacker's hex in Ice. If Arjac is below {[healthPct]}% Health, or if his attacker is on a hex covered in Ice, he gains +{[blockChance]}% Block chance and if he blocks a melee attack, the attacker is Stunned until the end of the attacker's next turn."
Asmodai,Feared Interrogator,,,,N,"Conditional (Suppressed/Stunned targets, or next to another Dark Angel).","Deals +{[extraDmg]} Damage against enemies that are Suppressed, Stunned, or that are adjacent to another friendly Dark Angel. Scores {[extraHits]} additional hits if the enemy is also Chaos."
Atlacoya,Daughter Of The Abyss,,flat:dmgReduction:psychic,,N,Takes less Psychic damage.,Atlacoya takes -{[dmgReduction]} Psychic Damage. Psychic Damage dealt to other friendly units within {[range]} hexes of Atlacoya is reduced by {[dmgReductionPct]}%. Enemy Psykers within {[range]} hexes receive +{[extraDmgPct]}% Damage.
Aun'Shi,Serene Unifier,,,,N,"A different buff each round, so not counted.","Aun'Shi grants himself, and adjacent friendly units a bonus based on the current round at the beginning of his turn. Friendly T'au Empire units within {[range]} hexes also receive this bonus. The bonus lasts until the start of the unit's next turn, even if Aun'Shi is defeated. The following Buffs are granted subsequently in each round: 1: Sense of Stone: units take -{[dmgReductionPct]}% Damage 2: Zephyr's Grace: units receive +{[extraMovement]} Movement 3: Storm of Fire: units gain +{[extraDmg]} Damage After round 3, the cycle begins again and will continue to repeat until Aun'Shi is defeated."
