Relic,Owners,Attack,Defence,Gear,Needs_Review,Notes,Ability_Text
Amulet of the Voidwyrm,Hollan; Isaak; Judh,,,,N,Not counted: needs adjacent Summons or Decoys.,The relic bearer takes -{[critDmgReduction]} Crit Damage for each friendly adjacent Summon or Decoy.
Blade of the Ancestors,Uthar,,,critchance:extraCritChance@trig;critdmg:extraCritDmg@trig,N,Builds up with deaths and kills; counted as one stack with traits triggered (like Act of Faith).,"Ûthar gains +{[extraCritChance]}% Crit Chance and deals +{[extraCritDmg]} Crit Damage each time a friendly character dies or kills an enemy unit. Once Ûthar crits, this bonus resets."
Book of Fate,Abraxas; Archimatos; Thaumachus,,,,N,Not counted: a Summon makes the attack.,"After the relic bearer performs a normal attack, a friendly adjacent Summon performs a normal attack against an enemy in range, if possible. If the summon is a Daemon, it deals +{[extraDmg]} Damage with this attack."
Chalice of Baal,Nicodemus,,,,N,Not counted: needs an adjacent unit to die.,"The first time each turn that any unit adjacent to Nicodemus dies, he heals himself and all friendly adjacent units for {[hp]} Health. All affected units deal +{[extraDmg]} Damage with normal melee attacks until the end of this turn."
DW-02 Advanced Burst Cannon,Re'vas,pierce:extraPierceRatio:after,,,N,Pierce grows with each of her attacks; counted as one stack from her second attack. Reusing her active is not counted.,"Each time Re'vas attacks, she gains +{[extraPierceRatio]}% pierce ratio. After attacking {[nrOfAttacks]} times, this bonus is reset, and Re'vas can use her active ability again."
Daemonflesh Plate,Angrax; Maladus; Toth; Wrask,,,,N,Not counted: Armour builds up with its own attacks.,"Each time the relic bearer attacks, it gains +{[extraArmor]} Armour. After attacking {[nrOfAttacks]} times, this bonus is reset and the relic bearer can use its active ability again."
Dawn Blade,Commander Farsight,,,,N,Not counted: +Damage depends on allies' ranged attacks; the repair needs a kill.,"Commander Farsight's melee attacks deal +{[extraDmg]} Damage for each time another friendly Character within {[range]} hexes has performed a ranged attack this turn. When Commander Farsight kills an enemy unit with a melee attack, he repairs himself for {[hpToHeal]} Health."
Headwoppa's Killchoppa,Boss Gulgortz,,,,N,Not counted: builds up with kills.,Boss Gulgortz and all friendly Ork Boyz deal +{[extraDmg]} Damage with melee attacks for each enemy unit that Boss Gulgortz has defeated in this battle.
Helspear,Haarken Worldclaimer,,,,N,Not counted: helps the next attack by any unit after his active; reuse needs kills.,"Herald of the Apocalypse always adds Despoiled Ground to the hexes of affected enemies, and the next attack against affected enemies also ignores {[armorIgnored]} Armour. After Herald of the Apocalypse has been used and Haarken defeats {[nrOfUnits]} enemy units, he can use the ability again."
Intoxicating Elixir,Adamatar; Hascule; Laviscus; Shiron,,,critdmg:extraCritDmg@trig,N,+Crit Damage per Suppressed/Stunned/Taunted/Thrilled unit nearby; counted as one with traits triggered.,"The relic bearer deals +{[extraCritDmg]} Crit Damage for each unit within range {[range]} that is Suppressed, Stunned, Taunted, or Thrilled, up to a maximum of {[nrOfUnits]} times. This bonus is doubled if the relic bearer is at or below {[healthPct]}% Health."
Kardiocore Galvanus,Exitor-Rho; Sy-Gex; Tan Gi'da,,,,N,Not counted: needs adjacent friendly Mechanical units.,The relic bearer deals +{[extraCritDmg]} Crit Damage for each friendly adjacent Mechanical unit.
Lakrimae,Typhus,armpct:30:melee:after,,,N,His melee attacks Contaminate the target's hex (-30% Armour) for his later attacks. The Poxwalkers (summons) are not counted.,"Typhus' normal melee attacks add Contamination to the target's hex. During his turn, when a non-mechanical enemy unit within Typhus' Contagion aura is killed, he summons a Poxwalker in the hex of the defeated unit, as long as there are less than {[nrOfUnits]} friendly Poxwalkers on the battlefield. The Poxwalkers have {[summonHp]} Health and {[summonDmg]} Damage."
Maugetar,Maugan Ra,,,critextra:1@trig,N,If he has not moved: attacks that crit add a Direct hit (with traits triggered). Moving after attacking is not counted.,"During his turn, if Maugan Ra has not moved, he can move after attacking and his attacks that contain a Crit deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage. When Overwatching, Crits deal this additional hit if he has not moved in his last turn."
Maw-Claws of Thyrax,Parasite of Mortrex; The Patermine; Tyrant Guard; Winged Prime,,,,N,Not counted: needs adjacent Summons.,The relic bearer deals +{[extraCritDmg]} Crit Damage for each adjacent Summon.
Monster Slayer of Caliban,Forcas,flat:extraDmg::vsBigTarget|Vehicle,,blockchance:blockChance;blockdmg:blockDmg,N,+Damage vs Big Targets and Vehicles; his own extra block chance (he has no block item).,Forcas deals +{[extraDmg]} Damage to Big Targets and Vehicles. He also has an added {[blockChance]}% chance to Block {[blockDmg]} Damage.
Nether-Realm Casket,Aleph-Null; Imospekh; Makhotep,,,,N,Not counted: needs adjacent friendly Mechanical units; Living Metal regeneration is between turns.,The relic bearer takes -{[critDmgReduction]} Crit Damage for each adjacent friendly Mechanical unit and regenerates an additional {[hpToHeal]} Health from Living Metal.
Norn Crown,Neurothrope,,,,N,Not counted: helps allies; the extra Neuroparasite level is beyond the one level counted.,The maximum level of Neuroparasite is increased by {[effectLevel]}. Other friendly Psykers within Synapse range and friendly Summons within Synapse range deal +{[extraDmg]} Damage to enemies that are affected by Neuroparasite.
Orbs of Decay,Corrodius; Nauseous Rotbone; Pestillian,armpct:30:after;extra:1:after,,,N,"Contaminates the target's hex (-30% Armour), so from the second attack the target also takes the extra Toxic hits.","The relic bearer's normal attacks deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Toxic Damage to enemy units that have their Armour reduced by {[armorReductionPct]}% or more and are also on or adjacent to the target's hex. Additionally, the target's hex is Contaminated."
Paragon Spear,Tyrith,extra:1,,,N,Attacks a random enemy at the start of her turn; counted on the target. Crits dealing maximum damage is not counted.,"All of Tyrith's hits that are Crits deal the maximum possible Damage. At the beginning of Tyrith's turn, she attacks a random enemy within range {[range]} and deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Bolter Damage to it. If there is an enemy adjacent to her, this range is reduced to 1."
Phasal Subjugator,Anuphet,,,,N,Not counted: summons.,"After moving, if there is no friendly Necron Warrior on the battlefield, Anuphet summons a Necron Warrior in a free adjacent hex. If Anuphet does not move, this ability triggers at the end of his turn. After My Will Be Done triggers, it triggers a second time, but only a friendly adjacent Necron Warrior that was not affected by it this turn can perform an attack. The Necron Warriors have {[summonHp]} Health, {[summonDmg]} Damage and {[summonArmor]} Armour."
Phoenix Gem,Aethana,,heal:hp,,N,Revives once per battle: counted as extra health.,"The first time each battle that Aethana is defeated, she is instead revived with a maximum of {[hp]} Health remaining, even if Overkilled."
Relic Bolt Pistol,Bellator; Cyrus; Ramus; Sarquael; Sword Brother Godswyl; Titus; Tjark,pierce:extraPierceRatio:melee;pierce:extraPierceRatio:melee:vsChaos|Xenos,,critdmg:extraCritDmg:ranged;critdmg:extraCritDmg:ranged:vsChaos|Xenos,N,"Melee pierce and ranged Crit Damage, doubled vs Chaos or Xenos targets.",The relic bearer gains +{[extraPierceRatio]}% pierce ratio with melee attacks and deals +{[extraCritDmg]} Crit Damage with ranged attacks. These bonuses are doubled against Chaos or Xenos enemies.
Relic Power Fist,Baraqiel; Brother Burchard; Mataneo,,,,N,"Not counted: suppresses/stuns the enemies it hits, which the model only counts for actives.",The relic bearer's attacks that deal Power Damage have a {[chance]}% chance to Suppress and a {[chance_2]}% chance to Stun enemies targeted by them. These chances are doubled if the attack is an active ability.
