Name,Side,Source,Ability,Effect,Receives,Reach,Lasts,Condition,Values_D3,Needs_Review,Notes,Ability_Text
Abaddon The Despoiler,Attack,Passive,First Among Traitors,flat:extraDmg:all:trig=maxDmg,Chaos,2 hexes,battle,always,"L36: +169 Damage (All triggered: 614) | L50: +499 Damage (All triggered: 1,786)",N,"Grows by +extraDmg_2 for each attack Abaddon makes, up to the maximum after 13. Draft: the starting value in Always-on, the maximum in All triggered. Owner agreed (September 2026).","Other friendly Chaos units within {[range]} hexes deal +{[extraDmg]} Damage. This value is increased by +{[extraDmg_2]} Damage for each attack Abaddon has performed in this battle, up to a maximum of +{[maxDmg]} Damage after 13 attacks."
Abraxas,Attack,Passive,Infernal Pacts,extra:1xPsychic(minDmg-maxDmg):normal-ranged; extra:1xPsychic(minDmg-maxDmg):normal-melee:who=Daemon,Chaos,adjacent,battle,always,"L36: +1x Psychic 506 [normal-ranged]; +1x Psychic 506 [normal-melee, who Daemon] | L50: +1x Psychic 1,497 [normal-ranged]; +1x Psychic 1,497 [normal-melee, who Daemon]",N,"An extra Psychic hit on normal ranged attacks, so it only helps Chaos allies with a ranged attack (Daemons get it in melee too).",Friendly Chaos units adjacent to Abraxas deal an additional {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage with their normal ranged attacks. Affected Daemons also gain the bonus hit on their normal melee attack.
Actus,Attack,Passive,Galvanic Field,attack:dmgPct:all:cap=maxDmg,Mechanical,one,each Actus turn,always,"L36: +100% Damage extra attack (max 2,023 a hit) | L50: +100% Damage extra attack (max 5,983 a hit)",N,"The repaired ally makes an extra attack at 100% of its Damage (capped per hit). Only Mechanical units can be repaired. It costs Actus his action (he repairs instead of attacking). Counted as always (owner, September 2026).","Whenever Actus repairs another unit, that unit immediately attacks a target in range, dealing {[dmgPct]}% of its own Damage to a maximum of {[maxDmg]} Damage per hit. Actus can repair other friendly units even if they are at full Health."
Adamatar,Attack,Passive,Obsessive Annunciation,taken:extraDmg:ranged; critdmg:extraCritDmg:all:who=Chaos@trig,all,target,battle,always,"L36: +371 Damage taken [ranged]; +371 Crit Damage [who Chaos, All triggered] | L50: +1,096 Damage taken [ranged]; +1,096 Crit Damage [who Chaos, All triggered]",N,Enemies next to Adamatar (his melee target is) take more damage from ranged attacks. The Crit Damage part needs an Overkill this turn (All triggered) and only matters with crits.,"All enemy units adjacent to Adamatar take +{[extraDmg]} Damage from ranged attacks. If an enemy was Overkilled this turn, enemies adjacent to Adamatar take +{[extraCritDmg]} Crit Damage from all attacks by friendly Chaos units."
Aesoth,Attack,Passive,Stand Vigil,pct:extraDmgPct:ability,all,adjacent,battle,always,L36: +25% damage [ability] | L50: +25% damage [ability],N,"Only attacks that are not normal attacks (actives), so it only shows with the Active switch on. When a Custodes uses an active it reaches 2 hexes for a round (not counted). The Armour part is Defence side.","Friendly surrounding units have +{[extraArmor]} Armour and deal +{[extraDmgPct]}% Damage with attacks that are not normal attacks. If a friendly Adeptus Custodes uses an Active Ability, Stand Vigil affects all other friendly units within {[range]} hexes for 1 round."
Aethana,Attack,Passive,Path Of Command,flat:extraDmg; flat:extraDmg_2:all:who=Aeldari; critchance:extraCritChance:all:gearonly,all,2 hexes,battle,always,L36: +135 Damage; +101 Damage [who Aeldari]; +20% crit chance | L50: +400 Damage; +299 Damage [who Aeldari]; +20% crit chance,N,"Aeldari get both Damage bonuses. The crit chance only helps allies who already have one, so only with gear.",Other friendly units within {[range]} hexes gain +{[extraDmg]} Damage. Their Crit chance – if they have one – is increased by +{[extraCritChance]}%. Affected Aeldari units gain an additional +{[extraDmg_2]} Damage.
Ahriman,Attack,Passive,Psychic Stalk,pct:extraDmgPct:all:type=Flame|Psychic; flat:extraDmg:all:type=Flame|Psychic:who=Chaos,all,target,battle,always,"L36: +33% damage [type Flame|Psychic]; +169 Damage [type Flame|Psychic, who Chaos] | L50: +33% damage [type Flame|Psychic]; +499 Damage [type Flame|Psychic, who Chaos]",N,"Only Flame and Psychic attacks, against an enemy on a Fire hex; Ahriman's normal ranged attack sets the target's hex on Fire. Needs the support to hit the target first; counted as always, since the team focuses one enemy (owner, September 2026).",Attacks that deal Flame Damage and Psychic Damage to enemies that are on hexes with Fire deal +{[extraDmgPct]}% Damage. Affected attacks from friendly Chaos units deal an additional +{[extraDmg]} Damage. The hex of each enemy that is hit by Ahriman's normal ranged attack catches Fire.
Ammuk,Attack,Passive,Predictive Guidance,hits:extraHits:all:who=Leagues of Votann; flat:extraDmg:melee@trig; flat:extraDmg_2:ranged@trig,Leagues of Votann|Mechanical,target,battle,always,"L36: +1 hit(s) [who Leagues of Votann]; +304 Damage [melee, All triggered]; +304 Damage [ranged, All triggered] | L50: +1 hit(s) [who Leagues of Votann]; +898 Damage [melee, All triggered]; +898 Damage [ranged, All triggered]",N,"The extra hit (Votann only) always works on enemies within 2 hexes of Ammuk. The +Damage depends on whether the enemy moved (ranged) or stood still (melee), so it is All triggered only (owner agreed).","Enemies within 2 hexes of Âmmuk are affected by Predictive Guidance. If an affected enemy did not move in its last turn, other friendly Leagues of Votann or Mechanical units deal +{[extraDmg]} Damage with melee attacks against it. If an affected enemy moved in its last turn, other friendly Leagues of Votann or Mechanical units deal +{[extraDmg_2]} Damage with ranged attacks against it. Other friendly Leagues of Votann units also score an additional hit with all attacks against affected enemies."
Ancient Thoread,Attack,Passive,Astartes Banner,hits:extraHits:melee:cap=maxDmg,all,2 hexes,battle,always,"L36: +1 hit(s) (max 2,529 a hit) [melee] | L50: +1 hit(s) (max 7,477 a hit) [melee]",N,"One extra melee hit, capped at maxDmg.",Other friendly units within {[range]} hexes score an additional hit with their melee attacks. This additional hit can deal a maximum of {[maxDmg]} Damage.
Anuphet,Attack,Passive,My Will Be Done,attack:dmgPct:all:cap=maxDmg,Mechanical,one,each Anuphet turn,always,"L36: +100% Damage extra attack (max 2,023 a hit) | L50: +100% Damage extra attack (max 5,983 a hit)",N,"A free extra attack for one adjacent Mechanical ally at the end of every Anuphet turn, at no cost to him.","At the end of Anuphet's turn, a friendly adjacent Mechanical unit performs a normal attack against a target in range, using {[dmgPct]}% of its own Damage stat to a maximum of {[maxDmg]} Damage. If no attack was performed this way, Anuphet gains +{[extraDmg]} Damage until the end of his next turn."
Asmodai,Attack,Active,Exemplar of Hate,flat:extraDmg:melee; attack:dmgPct:all:cap=maxDmg:vs=Chaos:who=Dark Angels:reach=one,all,target,2 rounds,active,"L36: +337 Damage [melee]; +100% Damage extra attack (max 2,023 a hit) [vs Chaos, who Dark Angels, reach one] | L50: +997 Damage [melee]; +100% Damage extra attack (max 5,983 a hit) [vs Chaos, who Dark Angels, reach one]",N,Everyone gets +Damage in melee against the marked enemy. Against a Chaos enemy a Dark Angel also makes an extra attack. The Overwatch part is not counted (the model has no Overwatch).,"Targets an enemy on the battlefield. For this round and the next, all friendly units deal +{[extraDmg]} Damage against that enemy with melee or Overwatch attacks. If that enemy is Chaos, it gets Suppressed and Asmodai or another friendly Dark Angel immediately performs a normal attack against the target, dealing {[dmgPct]}% of its own damage, to a maximum of {[maxDmg]} Damage per hit."
Atlacoya,Attack,Passive,Daughter Of The Abyss,takenpct:extraDmgPct:all:vs=Psyker,all,target,battle,always,L36: +20% damage taken [vs Psyker] | L50: +20% damage taken [vs Psyker],N,Enemy Psykers within 2 hexes take +20% damage. The Psychic protection is Defence side.,Atlacoya takes -{[dmgReduction]} Psychic Damage. Psychic Damage dealt to other friendly units within {[range]} hexes of Atlacoya is reduced by {[dmgReductionPct]}%. Enemy Psykers within {[range]} hexes receive +{[extraDmgPct]}% Damage.
Aun'Shi,Attack,Passive,Serene Unifier,flat:extraDmg:all:avg=1/3:who=!Tau Empire; flat:extraDmg:all:avg=1/3:who=Tau Empire:reach=2 hexes,all,adjacent,every third round,always,"L36: +270 Damage (a third of the time) [who !Tau Empire]; +270 Damage (a third of the time) [who Tau Empire, reach 2 hexes] | L50: +797 Damage (a third of the time) [who !Tau Empire]; +797 Damage (a third of the time) [who Tau Empire, reach 2 hexes]",N,"A three-round cycle, and only round 3 gives Damage (round 1 is Defence side, round 2 is movement). A third of the value in Always-on, the full value in All triggered (owner agreed).","Aun'Shi grants himself, and adjacent friendly units a bonus based on the current round at the beginning of his turn. Friendly T'au Empire units within {[range]} hexes also receive this bonus. The bonus lasts until the start of the unit's next turn, even if Aun'Shi is defeated. The following Buffs are granted subsequently in each round: 1: Sense of Stone: units take -{[dmgReductionPct]}% Damage 2: Zephyr's Grace: units receive +{[extraMovement]} Movement 3: Storm of Fire: units gain +{[extraDmg]} Damage After round 3, the cycle begins again and will continue to repeat until Aun'Shi is defeated."
